         1148739 function calls (1092611 primitive calls) in 1.943 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.041    0.010 /home/seb/.local/lib/python3.8/site-packages/numba/core/codegen.py:668(_optimize_final_module)
        8    0.000    0.000    0.041    0.005 /home/seb/.local/lib/python3.8/site-packages/llvmlite/binding/passmanagers.py:203(run)
1720/1718    0.007    0.000    0.039    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/types/abstract.py:60(__call__)
     1744    0.004    0.000    0.039    0.000 /home/seb/.local/lib/python3.8/site-packages/llvmlite/binding/ffi.py:73(__exit__)
       13    0.000    0.000    0.038    0.003 /home/seb/.local/lib/python3.8/site-packages/numba/core/codegen.py:1059(wrapper)
       40    0.000    0.000    0.038    0.001 /home/seb/.local/lib/python3.8/site-packages/numba/core/postproc.py:51(deadmaps)
        4    0.000    0.000    0.037    0.009 /home/seb/.local/lib/python3.8/site-packages/llvmlite/binding/executionengine.py:87(finalize_object)
     3017    0.004    0.000    0.037    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/ir.py:594(list_vars)
        1    0.037    0.037    0.037    0.037 {resize}
      256    0.002    0.000    0.036    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/typing/typeof.py:25(typeof)
      105    0.000    0.000    0.036    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/typing/templates.py:481(apply)
      109    0.001    0.000    0.036    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/typing/templates.py:272(_select)
27216/27138    0.018    0.000    0.035    0.000 {built-in method builtins.getattr}
        1    0.001    0.001    0.035    0.035 /home/seb/.local/lib/python3.8/site-packages/numba/cpython/unicode.py:1(<module>)
      109    0.007    0.000    0.035    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/typing/context.py:592(resolve_overload)
     1002    0.001    0.000    0.035    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/typing/context.py:494(insert_global)
     1853    0.007    0.000    0.035    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/event.py:388(end_event)
     1744    0.003    0.000    0.035    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/base.py:1260(exit_fn)
     1314    0.003    0.000    0.035    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/typing/context.py:469(_insert_global)
  309/281    0.001    0.000    0.034    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/base.py:703(cast)
     1744    0.004    0.000    0.034    0.000 /home/seb/.local/lib/python3.8/site-packages/llvmlite/binding/ffi.py:67(__enter__)
      394    0.005    0.000    0.034    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/errors.py:295(_markup)
